Instance,Heuristic,Plan Length,Plan Cost,States Expanded,States Reopened,States Evaluated,Evaluations,States Generated,Dead Ends,States Expanded ULJ,States Reopened ULJ,States Evaluated ULJ,States Generated ULJ,Registered States,Hash Set Load Factor,Hash Set Resizes,Search Time (s),Total Time (s),Peak Memory (KB)
add,Additive,8,8,10,0,60,60,69,0,0,0,1,0,60,0.9375,6,0.0,0.0,56124
cg,Causal Graph,8,8,74,0,161,161,472,0,71,0,147,454,161,0.628906,8,0.0,0.0,56312
add,Additive,19,19,693,92,2231,2231,5648,0,0,0,1,0,2231,0.544678,12,0.0146735,0.0146735,56272
cg,Causal Graph,19,19,3290,248,8512,8512,25648,0,3281,248,8494,25591,8512,0.519531,14,0.0255553,0.0255553,56524
add,Additive,13,13,19,0,108,108,138,0,0,0,1,0,108,0.84375,7,0.0064451,0.0064451,56124
cg,Causal Graph,13,13,22,0,122,122,160,0,6,0,30,38,122,0.953125,7,0.0,0.0,56388
add,Additive,16,16,185,0,1370,1370,2018,0,0,0,1,0,1370,0.668945,11,0.0100013,0.0100013,56256
cg,Causal Graph,16,16,319,20,1753,1753,3364,0,36,0,216,348,1753,0.855957,11,0.0,0.0039229,56260
add,Additive,21,21,33,0,285,285,338,0,0,0,1,0,285,0.556641,9,0.0053188,0.0053188,56124
cg,Causal Graph,19,19,607,248,2683,2683,7731,0,3,0,29,30,2683,0.655029,12,0.0069848,0.0069848,58468
add,Additive,13,13,295,0,2403,2403,3957,0,288,0,2353,3886,2403,0.58667,12,0.0185285,0.0185285,56256
cg,Causal Graph,11,11,1016,0,6179,6179,13503,0,771,0,4901,10536,6179,0.754272,13,0.0100029,0.0139667,59148
add,Additive,14,14,30,0,324,324,384,0,0,0,1,0,324,0.632812,9,0.0,0.0,56256
cg,Causal Graph,14,14,1672,58,13434,13434,22555,0,144,0,1200,1872,13434,0.819946,14,0.0199877,0.0234536,61128
add,Additive,22,22,297,27,2940,2940,4705,0,0,0,1,0,2940,0.717773,12,0.0200037,0.0228763,56256
cg,Causal Graph,22,22,82640,13026,457171,457171,1275554,0,12,0,140,162,457171,0.435992,20,1.0896,1.0896,86488
add,Additive,25,25,54,0,431,431,580,0,0,0,1,0,431,0.841797,9,0.0099935,0.0151031,56256
cg,Causal Graph,22,22,2762,54,11365,11365,25696,0,2281,50,9599,21319,11365,0.693665,14,0.0199974,0.0299968,61584
add,Additive,20,20,235,77,1439,1439,3084,0,0,0,1,0,1439,0.702637,11,0.0191917,0.0191917,56392
cg,Causal Graph,17,17,823,44,5271,5271,10162,0,48,0,288,496,5271,0.643433,13,0.0099988,0.0138551,70100
add,Additive,22,22,63,0,604,604,835,0,0,0,1,0,604,0.589844,10,0.007455,0.007455,56388
cg,Causal Graph,22,22,2376,141,9975,9975,22818,0,277,10,1190,2593,9975,0.608826,14,0.0600046,0.0628028,56940
add,Additive,36,36,44393,10065,291556,291556,802369,0,0,0,1,0,291556,0.556099,19,4.42994,4.42994,70096
add,Additive,27,27,70,1,821,821,1027,0,0,0,1,0,821,0.801758,10,0.019937,0.019937,56524
cg,Causal Graph,30,30,55269,23241,184544,184544,649008,0,6,0,44,52,184544,0.703979,18,1.72996,1.73738,65732
add,Additive,37,37,2230,260,17667,17667,37910,0,0,0,1,0,17667,0.539154,15,0.259903,0.263473,57356
cg,Causal Graph,31,31,35716,1478,217950,217950,498598,0,6,0,60,68,217950,0.415707,19,1.59999,1.59999,72060
add,Additive,41,41,403,3,5710,5710,7901,0,0,0,1,0,5710,0.697021,13,0.209927,0.216178,57448
cg,Causal Graph,38,38,51892,4102,380129,380129,906203,0,30,0,378,466,380129,0.725039,19,5.98992,5.99951,77616
